Corporation,SDGs_round1,SDGs_round2,Source Name,Source,Source Type,Source Date,Source Author,Explicit or Implicit,Notes,Relevant Country,Project,Entryist Initials
Veritas,"4, 5, 8, 9, 10, 11, 12, 13, 16",5,Vertias Corporate Responsibility Report 2017,https://www.veritas.com/content/dam/Veritas/docs/reports/Veritas_Corporate_Responsibility_Report_2017.pdf,Corproate Report,17-Dec,NA,Explicit,"""Veritas participates in the TechWomen program, an
initiative of the U.S. Department of State’s Bureau of
Educational and Cultural Affairs, designed to empower
and support the next generation of women leaders in
science, technology, engineering and mathematics
(STEM) from Africa, Central Asia and the Middle East.
In 2017, eight female Veritas employees were mentors
to three emerging technical women from Algeria, South
Africa and Kyrgyzstan. The mentees spent four weeks
at our Mountain View offices learning about Veritas and
developing their skills.""","Algeria, South Africa, Kyrgystan",TechWomen,KMW
Veritas,"4, 5, 8, 9, 10, 11, 12, 13, 16",17,Vertias Corporate Responsibility Report 2017,https://www.veritas.com/content/dam/Veritas/docs/reports/Veritas_Corporate_Responsibility_Report_2017.pdf,Corproate Report,17-Dec,NA,Explicit,"""Veritas offers global employees a Matching Gifts program in which we make
a dollar-for-dollar match of donations to nonprofit organizations meeting our
general requirements for charitable donations""",Global,Employee Matching Gifts,KMW
Veritas,"4, 5, 8, 9, 10, 11, 12, 13, 17","4, 5, 8, 9, 10, 11, 12, 13, 17",Vertias Corporate Responsibility Report 2017,https://www.veritas.com/content/dam/Veritas/docs/reports/Veritas_Corporate_Responsibility_Report_2017.pdf,Corproate Report,17-Dec,NA,Explicit,"""Veritas is a United Nations Global Compact (UNGC) signatory, a UNGC
Network USA member, and a signatory of the Women’s Empowerment
Principles, a partnership initiative of the UNGC and UN Women.""",Globe,,KMW
Western Digital,"2, 4, 10, 11, 13","2, 4, 11",Western Digial: Corporate Philanthropy,https://www.westerndigital.com/company/corporate-philanthropy,Webpage,NA,NA,Implicit,"""Emphasis is placed on educational programs, especially Science, Technology, Engineering and Math for under privileged and underrepresented youth; hunger relief; and environmental issues.""",Globe,,KMW
Western Digital,"8, 11",8,Western Digital: Corporate Social Responsibility and Labor Rights,http://www.bcsd.org.tw/2010/20091202acer_csr/11.WD.pdf,PowerPoint,9-Nov,"Gary Meister, CIO, Sr. VP Worldwide Customer Satisfaction",Implicit,"""We strive to preserve and protect the environment by reducing our
carbon footprint""; ""We help strengthen those communities by funding local charitable
organizations that work to improve education, health care and the
environment,""; ""We work to improve the living conditions that prevail in these communies""",Globe,,KMW
Western Digital,"4, 10",4,Western Digital: Scholarship Programs,https://www.westerndigital.com/company/corporate-philanthropy/scholarship-programs,Webpage,NA,NA,Implicit,"""Western Digital is committed to addressing access to STEM education for underrepresented and underprivileged students.""","China, India, Israel, Japan, Malaysia, Philippines, Thailand, United States",Scholarship Program,KMW
Western Digital,"2, 4, 11, 13",17,Western Digital: Giving Back Through Volunteering,https://www.westerndigital.com/company/corporate-philanthropy/giving-back-through-volunteering,Webpage,NA,NA,Implicit,"""employees are encouraged to ...get involved in a variety of ways such as:

Teaching and mentoring disadvantaged students in science, technology, engineering and mathematics (STEM) education
Packing meals to support hunger relief worldwide
Planting trees and picking up trash to help preserve the environment""",United States (Local),Employee Volunteering Program,KMW
Western Digital,"4, 9, 17","4, 17",Western Digital: Product Donations,https://www.westerndigital.com/company/corporate-philanthropy/product-donations,Webpage,NA,NA,Implicit,"""Western Digital provides an opportunity for nonprofit organizations and public schools to request product donations. """,NA,Product Donations,KMW
Western Digital,"2, 4, 8, 11, 13","4, 17",Western Digital: Community Grants Program,https://www.westerndigital.com/company/corporate-philanthropy/community-grants-program,Webpage,NA,NA,Implicit,"""our key areas of support:

Education
STEM, particularly programs targeted at underrepresented and/or underprivileged youth

Hunger Relief
Programs with a predominant focus on alleviating hunger locally

Environmental Preservation
Programs aimed at environmental protection or preservation, and the public education of such issues

Veterans and Military Families
Projects and programs that provide services to veterans and/or military families""","China, India, Israel, Japan, Malaysia, Philippines, Thailand, United States",Community Grants Program,KMW
Western Digital,"2, 3, 4, 8, 11, 13, 16",16,Western Digital: Global Giving Guidelines,https://www.westerndigital.com/company/corporate-philanthropy/global-giving-guidelines,Webpage,NA,NA,Implicit,"""The quality of life and education, the well-being of our employees and their families, and the economic health of our society are of vital interest to Western Digital. As a corporation, we support organizations that improve education, support hunger relief, as well as programs protecting the environment and our communities...""; ""We adopt a zero-tolerance approach to bribery and corruption wherever we operate...""",Global,,KMW
Western Digital,"3, 8, 12, 16",8,Western Digital: UK Modern Slavery / California Transparency,https://www.westerndigital.com/company/corporate-sustainability/uk-modern-slavery-california-transparency,Webpage,NA,"Stephen D. Milligan, CEO",Implicit,"""Western Digital is committed to ensuring that there is no modern slavery or human trafficking in our supply chain or in any part of our business. Western Digital does not tolerate the use of slavery, forced or compelled labor or human trafficking by our employees, contractors, business partners, or suppliers. """,NA,,KMW
Western Digital,16,16,Western Digital: U.S. Public Policy Activities,https://www.westerndigital.com/company/corporate-sustainability/us-public-policy-activities,Webpage,NA,NA,Implicit,"""the company does not have or support a political action committee and does not use corporate funds or resources for donations to local, state, or national elections whether to candidates, political parties, non-candidate organizations, Section 501(c)(4) organizations, or Section 527 organizations, or to local or state ballot measures. """,United States,,KMW
Western Digital,,11,Western Digital: Product Compliance,https://www.westerndigital.com/company/corporate-sustainability/product-compliance,Webpage,NA,NA,Implicit,"""Western Digital is striving to eliminate the use of heavy metals and toxic substances to manage environmental compliance.""",NA,,KMW
Western Digital,"12, 17","11, 16",Western Digital: Responsible Supply Chain,https://www.westerndigital.com/company/corporate-sustainability/responsible-supply-chain,Webpage,NA,NA,Implicit,"""We have established and maintain a responsible supply chain..."";  ""Western Digital strongly disapproves of the violence in the Democratic Republic of Congo (DRC) and adjoining countries and is committed to supporting responsible sourcing of conflict minerals... from the region.""; ""We continue to be an active member of the Responsible Business Alliance (RBA)...""; ""We have established and maintain a responsible supply chain due diligence program...""","United States, DRC",,KMW
Western Digital,17,11,Western Digital: Membership in Responsible Business Alliance,https://www.westerndigital.com/company/corporate-sustainability/membership-in-responsible-business-alliance,Webpage,NA,NA,Implicit,"""Western Digital actively participates in the RBA’s leadership to support continued industry progress in advancing the RBA’s mission across the electronics supply chain.""",United States,,KMW
Western Digital,"12, 13","11, 13",Western Digital: Environmental Report,https://www.wd.com/content/dam/wdc/website/about-wd/global-citizenship/WDC-GHG-Report-CY2017-Digital.pdf,Report,2017,NA,Explicit,""" As such, we support the UN Sustainable Development
Goals on Responsible Consumption and Production and Climate
Action.""",United States,,KMW
Zoner,NA,NA,NA ,NA,NA,NA,NA,NA,Diffiult to find any information about company ambitions: every description is product based.,NA,,KMW
Zoom,4,4,GlobeNewswire: Zoom Donates Video Communications Services to Technion,http://www.globenewswire.com/news-release/2018/10/25/1626739/0/en/Zoom-Donates-Video-Communications-Services-to-Technion.html,Online Article,10/25/18,GlobeNewswire,Implicit,Zoom donated tech to University in Israel that has also has a presence in the US and China,Israel,Product Donation,KMW
Zoom,"4, 8",4,"Thrive Global: Tips From the Top: One on One with Eric Yuan, Founder & CEO of Zoom",https://thriveglobal.com/stories/tips-from-the-top-one-on-one-with-eric-yuan-founder-ceo-of-zoom/,Online Article,6/27/18,Adam Mendler,Implicit,"""The Zoom book club reimburses employees and their families for books they buy. We’re always encouraging employees and their families to read and we’re happy to pick up the bill."" (Yuan, founder);  ""My focus has always been providing value to others without the expectation of anything in return. Many people are always looking for what’s in it for them."" (Yuan, Founder)",NA,Zoom Book Club,KMW
Zoom,3,3,zoomBlog: Project ECHO and Zoom: Celebrating Five Years of Saving Lives,https://blog.zoom.us/wordpress/2018/07/31/project-echo-zoom-celebrating-five-years-of-saving-lives/,Self Published Blog,7/31/18,Zoom Blog,Implicit,"“Zoom is proud to be a part of this important effort to reduce rates of chronic disease and improve healthcare in rural areas."" (Yuan, Founder); ECHO is about getting technical healthcare info and access to rural areas",United States,Project ECHO,KMW
Zoom,4,4,Video Conferencing Daily: Video Conferencing Between Schools Could Fight the Effects of a Teacher Shortage,https://www.videoconferencingdaily.com/education/video-conferencing-between-schools-could-fight-the-effects-of-a-teacher-shortage/,Online Article,6/4/18,Lilian C,Implicit,"""The vendor has donated its services to the students of two Colorado schools so they can share expert math and science teachers. Twice a week, teachers and students from advanced STEM school Highlands Ranch (school population 1,800) use the Zoom platform to speak face-to-face with their peers 100 miles away in the Arickaree School District (100 students). The groups collaborate on math, computer science, music, and poetry projects, subjects that some schools in Arickaree’s position take years to staff.""",United States,Product Donation,KMW
Zoom,"1, 4",4,zoomBlog: Case Study: Zoom & SRA Breaking the Cycle of Poverty,https://blog.zoom.us/wordpress/2017/09/05/case-study-zoom-sra-breaking-the-cycle-of-poverty/,Self Published Blog,9/5/17,Zoom Blog,Implicit,"""We are proud to help Students Rising Above in their efforts to cultivate the incredible youth that hold the keys to our future.""",United States,,KMW
